case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder,scenario_seed,case_seed,buyer_utility,dealer_utility,joint_utility,agreement_surplus,buyer_surplus,dealer_profit,buyer_distance_from_reservation,dealer_distance_from_reservation,buyer_concession_pct,dealer_concession_pct,benefit_side,final_reason
22,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",3,7,80000,64000,78400,70400,70400,9600,12.00,"exp_022_BALANCED_TIT_FOR_TAT_vs_TIT_FOR_TAT",5217400151006772112,203013720619485886,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
23,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",3,7,80000,64000,78400,70400,70400,9600,12.00,"exp_023_BALANCED_TIT_FOR_TAT_vs_FIXED_INCREMENT_2PCT",5217400151006772112,203015323326989756,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
24,1,"BALANCED","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,7,80000,64000,78400,70400,70400,9600,12.00,"exp_024_BALANCED_TIT_FOR_TAT_vs_FIXED_INCREMENT_5PCT",5217400151006772112,203015323281855892,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 3/10 | OpponentConcession=0.0% | opponentStuck=true | lastRound=false → ACCEPT"
25,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,64000,78400,70400,76500,3500,4.38,"exp_025_BALANCED_FIXED_INCREMENT_2PCT_vs_BAYESIAN",5217400151006772112,203000084760752619,0.13,0.64,0.77,8000,1900,6100,1900,6100,86.81,36.46,"DEALER","REJECT: Offer RM 76500 exceeds reservation price RM 70400"
26,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",6,14,80000,64000,78400,70400,71600,8400,10.50,"exp_026_BALANCED_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_CONCEDER",5217400151006772112,203000147837293031,0.47,0.13,0.60,8000,6800,1200,6800,1200,52.78,87.50,"BUYER","Round 6/10 | +2.0% increment | Offer RM70700 → RM72100 | RV ceiling: RM78400"
27,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",9,19,80000,64000,78400,70400,75000,5000,6.25,"exp_027_BALANCED_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_BOULWARE",5217400151006772112,203001930699930843,0.24,0.48,0.72,8000,3400,4600,3400,4600,76.39,52.08,"DEALER","Round 9/10 | Curve=BOULWARE β=0.25 | Progress=90% → Offer RM73700"
28,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",5,12,80000,64000,78400,70400,70400,9600,12.00,"exp_028_BALANCED_FIXED_INCREMENT_2PCT_vs_TIT_FOR_TAT",5217400151006772112,203000139774291607,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 5/10 | +2.0% increment | Offer RM69300 → RM70700 | RV ceiling: RM78400"
29,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",5,12,80000,64000,78400,70400,70400,9600,12.00,"exp_029_BALANCED_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_2PCT",5217400151006772112,203001953314787082,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 5/10 | +2.0% increment | Offer RM69300 → RM70700 | RV ceiling: RM78400"
30,1,"BALANCED","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",5,12,80000,64000,78400,70400,70400,9600,12.00,"exp_030_BALANCED_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_5PCT",5217400151006772112,203001953379204525,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 5/10 | +2.0% increment | Offer RM69300 → RM70700 | RV ceiling: RM78400"
31,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,64000,78400,70400,78400,1600,2.00,"exp_031_BALANCED_FIXED_INCREMENT_5PCT_vs_BAYESIAN",5217400151006772112,203000086531930845,0.00,0.83,0.83,8000,0,8000,0,8000,100.00,16.67,"DEALER","REJECT: Offer RM 78400 exceeds reservation price RM 70400"
