case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder
46,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,62400,72800,71200,72500,7500,9.38,"exp_046_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_TIT_FOR_TAT"
47,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",5,11,80000,62400,72800,71200,72300,7700,9.63,"exp_047_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_2PCT"
48,1,"TIGHT_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,5,80000,62400,72800,71200,72200,7800,9.75,"exp_048_TIGHT_GAP_TIME_DEPENDENT_CONCEDER_vs_FIXED_INCREMENT_5PCT"
49,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","BAYESIAN","Bayesian Learner","DEAL","BUYER",9,19,80000,62400,72800,71200,72100,7900,9.88,"exp_049_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_BAYESIAN"
50,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",5,11,80000,62400,72800,71200,72600,7400,9.25,"exp_050_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_CONCEDER"
51,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_051_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_TIME_DEPENDENT_BOULWARE"
52,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","TIT_FOR_TAT","Tit-for-Tat","NO_DEAL","NONE",10,20,80000,62400,72800,71200,0,0,0.00,"exp_052_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_TIT_FOR_TAT"
53,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",5,11,80000,62400,72800,71200,72300,7700,9.63,"exp_053_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_2PCT"
54,1,"TIGHT_GAP","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,5,80000,62400,72800,71200,72200,7800,9.75,"exp_054_TIGHT_GAP_TIME_DEPENDENT_BOULWARE_vs_FIXED_INCREMENT_5PCT"
55,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","BAYESIAN","Bayesian Learner","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_055_TIGHT_GAP_TIT_FOR_TAT_vs_BAYESIAN"
56,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_056_TIGHT_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_CONCEDER"
57,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",10,21,80000,62400,72800,71200,71200,8800,11.00,"exp_057_TIGHT_GAP_TIT_FOR_TAT_vs_TIME_DEPENDENT_BOULWARE"
58,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","TIT_FOR_TAT","Tit-for-Tat","NO_DEAL","NONE",10,20,80000,62400,72800,71200,0,0,0.00,"exp_058_TIGHT_GAP_TIT_FOR_TAT_vs_TIT_FOR_TAT"
59,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",7,15,80000,62400,72800,71200,71200,8800,11.00,"exp_059_TIGHT_GAP_TIT_FOR_TAT_vs_FIXED_INCREMENT_2PCT"
60,1,"TIGHT_GAP","TIT_FOR_TAT","Tit-for-Tat","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",4,9,80000,62400,72800,71200,71200,8800,11.00,"exp_060_TIGHT_GAP_TIT_FOR_TAT_vs_FIXED_INCREMENT_5PCT"
61,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",9,18,80000,62400,72800,71200,72800,7200,9.00,"exp_061_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_BAYESIAN"
62,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",8,16,80000,62400,72800,71200,71700,8300,10.38,"exp_062_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_CONCEDER"
63,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",8,16,80000,62400,72800,71200,71700,8300,10.38,"exp_063_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_TIME_DEPENDENT_BOULWARE"
64,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",10,20,80000,62400,72800,71200,72800,7200,9.00,"exp_064_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_TIT_FOR_TAT"
65,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",7,16,80000,62400,72800,71200,71200,8800,11.00,"exp_065_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_2PCT"
66,1,"TIGHT_GAP","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",7,16,80000,62400,72800,71200,71200,8800,11.00,"exp_066_TIGHT_GAP_FIXED_INCREMENT_2PCT_vs_FIXED_INCREMENT_5PCT"
67,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","BAYESIAN","Bayesian Learner","DEAL","DEALER",4,8,80000,62400,72800,71200,72200,7800,9.75,"exp_067_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_BAYESIAN"
68,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","DEALER",5,11,80000,62400,72800,71200,72800,7200,9.00,"exp_068_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_CONCEDER"
69,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",10,20,80000,62400,72800,71200,72800,7200,9.00,"exp_069_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_BOULWARE"
70,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",6,12,80000,62400,72800,71200,72800,7200,9.00,"exp_070_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_TIT_FOR_TAT"
71,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","DEALER",5,11,80000,62400,72800,71200,72800,7200,9.00,"exp_071_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_2PCT"
72,1,"TIGHT_GAP","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",3,8,80000,62400,72800,71200,71200,8800,11.00,"exp_072_TIGHT_GAP_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_5PCT"
